FID,C_EDPP,NUMIND,DHMOS,COMMUNE,DD,DESCRIPT,WATERNAME,PRELEV,REGION,NOMOS,PROVINCE,codeau,longitude,latitude,the_geom
2c8a3e04-2024-4b22-96d5-5168a05d1245.51,93010701,GR4330010193010701,ΚΡΗΤΗ-ΡΕΘΥΜΝΗΣ,RETHYMNIS,ΚΡΗΤΗ-ΡΕΘΥΜΝΗΣ,ΕΝΑΝΤΙ ΞΕΝΟΔΟΧΕΙΟΥ 'ΜΙΝΩΣ MARE',ΡΕΘΥΜΝΟ 6/ΠΛΑΤΑΝΙΑΣ,RETHYMNO - HOTEL MINOS MARE,KRITI,ΡΕΘΥΜΝΗΣ,Rethymni,1,24.51972198,35.36444473,POINT (547065.051819161 3913294.5950840237)
2c8a3e04-2024-4b22-96d5-5168a05d1245.52,13110201,GR2320110713110201,ΛΑΡΙΣΣΟΥ,LARISSOU,ΛΑΚΚΟΠΕΤΡΑΣ,ΞΕΝΟΔΟΧΕΙΟ LAKOPETRA BEACH,ΛΑΚΚΟΠΕΤΡΑ,LAKKOPETRA - HOTEL LAKOPETRA BEACH,DYTIKI ELLADA,ΑΧΑΙΑΣ,Achaia,1,21.30027771,38.18388748,POINT (263393.1149371717 4229375.449085556)
2c8a3e04-2024-4b22-96d5-5168a05d1245.53,14010701,GR2330011814010701,ΠΥΡΓΟΥ,PYRGOU,ΣΚΑΦΙΔIΑΣ,ΞΕΝΟΔΟΧΕΙΟ 'OLYMPIAN VILLAGE',ΣΚΑΦΙΔΙΑ,SKAFIDIA - HOTEL OLYMPIAN VILLAGE,DYTIKI ELLADA,ΗΛΕΙΑΣ,Ileia,1,21.31944466,37.69166565,POINT (263499.74606516835 4174699.21610978)
2c8a3e04-2024-4b22-96d5-5168a05d1245.54,14030201,GR2330030114030201,ΑΜΑΛΙΑΔΟΣ,AMALIADOS,ΑΜΑΛΙΑΔΟΣ,ΕΜΠΡΟΣΘΕΝ ΚΕΝΤΡΟΥ ΡΕΜΟΥΝΔΟΥ,ΚΟΥΡΟΥΤΑ,KOUROUTA - KENTRO REMOUNDOU,DYTIKI ELLADA,ΗΛΕΙΑΣ,Ileia,1,21.28333282,37.76666641,POINT (260556.82278450768 4183114.4189096345)
2c8a3e04-2024-4b22-96d5-5168a05d1245.55,14030202,GR2330030114030202,ΑΜΑΛΙΑΔΟΣ,AMALIADOS,ΑΜΑΛΙΑΔΟΣ,CAMPING ΠΕΡΙΟΧΗΣ ΛΕΣΧΗΣ,ΚΟΥΡΟΥΤΑ,KOUROUTA - CAMPING PERIOCHIS LESCHIS,DYTIKI ELLADA,ΗΛΕΙΑΣ,Ileia,1,21.28333282,37.76666641,POINT (260556.82278450768 4183114.4189096345)
2c8a3e04-2024-4b22-96d5-5168a05d1245.56,14110101,GR2330110114110101,ΖΑΧΑΡΩΣ,ZACHAROS,ΖΑΧΑΡΩΣ,ΕΜΠΡΟΣΘΕΝ ΚΕΝΤΡΟΥ ΜΑΙΣΤΡΑΛΙ,ΖΑΧΑΡΩ,ZACHARO - KENTRO MAISTRALI,DYTIKI ELLADA,ΗΛΕΙΑΣ,Ileia,1,21.29999924,37.63333511,POINT (261598.47422568055 4168274.7026290116)
2c8a3e04-2024-4b22-96d5-5168a05d1245.57,A2160402,GR30006401A2160402,ΜΑΡΚΟΠΟΥΛΟ ΜΕΣΟΓΑΙΑΣ,MARKOPOULO MESOGEAS,ΜΑΡΚΟΠΟΥΛΟ ΜΕΣΟΓΑΙΑΣ,ΑΡΙΣΤΕΡΟ ΑΚΡΟ ΑΚΤΗΣ,ΑΥΛΑΚΙ,AVLAKI,ATTIKI,ΑΤΤΙΚΗΣ,Attiki,1,24.02555466,37.87555695,POINT (502097.9864216412 4191720.1741101267)
2c8a3e04-2024-4b22-96d5-5168a05d1245.58,24010501,GR2240010124010501,ΛΕΥΚΑΔΑ-ΛΕΥΚΑΔΟΣ,LEFKADOS,ΛΕΥΚΑΔΑ-ΛΕΥΚΑΔΑΣ,ΕΡΓΟΣΤΑΣΙΟ ΤΑΟΛ,ΓΥΡΑ,GYRA - ERGOSTASIO  TAOL,IONIA NISIA,ΛΕΥΚΑΔΑΣ,LEFKADA,1,20.71750069,38.84999847,POINT (214978.700100471 4304965.335931051)
2c8a3e04-2024-4b22-96d5-5168a05d1245.59,24010502,GR2240010124010502,ΛΕΥΚΑΔΑ-ΛΕΥΚΑΔΟΣ,LEFKADOS,ΛΕΥΚΑΔΑ-ΛΕΥΚΑΔΑΣ,ΚΑΦΕΝΕΙΟ ΑΦΩΝ ΦΕΤΣΗ,ΓΥΡΑ,GYRA - KAFENEIO FETSI,IONIA NISIA,ΛΕΥΚΑΔΑΣ,LEFKADA,1,20.70000076,38.84999847,POINT (213459.6029754954 4305020.131444717)
2c8a3e04-2024-4b22-96d5-5168a05d1245.60,43130401,GR1430130543130401,ΜΟΥΡΕΣΙΟΥ,MOURESIOU,ΜΟΥΡΕΣΙΟΥ,ΚΕΝΤΡΟ ΑΚΤΗΣ,ΠΑΠΑ ΝΕΡΟ,PAPA NERO,THESSALIA,ΜΑΓΝΗΣΙΑΣ,Magnisia,1,23.17000008,39.40833282,POINT (428393.2835100701 4362132.858778896)
2c8a3e04-2024-4b22-96d5-5168a05d1245.61,61100101,GR1250100261100101,ΠΑΡΑΛΙΑΣ,PARALIAS,ΠΑΡΑΛΙΑΣ,ΔΕΞΙΑ  ΞΕΝΟΔΟΧΕΙΟΥ ΑΛΚΥΩΝ,ΠΑΡΑΛΙΑ,PARALIA - DEXIA HOTEL ALKYON,KENTRIKI MAKEDONIA,ΠΙΕΡΙΑΣ,Pieria,1,22.60277748,40.27777863,POINT (381065.90490151604 4459238.584591742)
2c8a3e04-2024-4b22-96d5-5168a05d1245.62,42180202,GR1420180242180202,ΜΕΛΙΒΟΙΑΣ,MELIVOIAS,ΜΕΛΙΒΟΙΑΣ,ΚΕΝΤΡΟ ΣΦΥΡΙ,ΒΕΛΙΚΑ,VELIKA - KENTRO SFYRI,THESSALIA,ΛΑΡΙΣΑΣ,Larisa,1,22.86944389,39.76944351,POINT (403020.9690168352 4402492.6053309105)
2c8a3e04-2024-4b22-96d5-5168a05d1245.63,43010101,GR1430010143010101,ΒΟΛΟΥ,VOLOU,ΒΟΛΟΥ,ΕΝΑΝΤΙ ΔΗΜΟΤΙΚΟΥ ΠΑΡΚΟΥ ΑΛΥΚΩΝ,ΑΛΥΚΕΣ,ALYKES - DIMOTIKO PARKO,THESSALIA,ΜΑΓΝΗΣΙΑΣ,Magnisia,1,22.92666626,39.32500076,POINT (407333.69988675084 4353105.2591546755)
2c8a3e04-2024-4b22-96d5-5168a05d1245.64,92020101,GR4320020192020101,ΚΡΗΤΗ-ΙΕΡΑΠΕΤΡΑΣ,IERAPETRAS,ΚΡΗΤΗ-ΙΕΡΑΠΕΤΡΑΣ,"ΑΡΙΣΤ.ΑΚΡΟ,ΕΝΑΝΤΙ ΤΑΒΕΡΝΑΣ ΚΑΤΩ ΑΠΟ ΤΟ CASTELLO",ΙΕΡΑΠΕΤΡΑ ΔΗΜ. ΠΛΑΖ,IERAPETRA - ENANTI TAVERNAS KATO APO CASTELLO,KRITI,ΛΑΣΙΘΙΟΥ,Lasithi,1,25.75,35.00833511,POINT (659533.6255144472 3875077.1730365376)
2c8a3e04-2024-4b22-96d5-5168a05d1245.65,92020102,GR4320020192020102,ΚΡΗΤΗ-ΙΕΡΑΠΕΤΡΑΣ,IERAPETRAS,ΚΡΗΤΗ-ΙΕΡΑΠΕΤΡΑΣ,"ΔΕΞΙΟ ΑΚΡΟ, ΕΝΑΝΤΙ ΤΟΥ ΓΥΜΝΑΣΙΟΥ",ΙΕΡΑΠΕΤΡΑ ΔΗΜ. ΠΛΑΖ,IERAPETRA  - ENANTI GYMNASIOU,KRITI,ΛΑΣΙΘΙΟΥ,Lasithi,1,25.73888969,35.01055527,POINT (658515.3723934396 3875306.0203552363)
2c8a3e04-2024-4b22-96d5-5168a05d1245.66,93040501,GR4330040893040501,ΚΡΗΤΗ-ΓΕΡΟΠΟΤΑΜΟΥ,GEROPOTAMOU,ΚΡΗΤΗ-ΜΕΛΙΔΟΝΙΟΥ,ΕΝΑΝΤΙ ΞΕΝΟΔΟΧΕΙΟΥ 'BALI PARADISE',ΜΠΑΛΙ-ΛΙΒΑΔΙ,"BALI - LIVADI, HOTEL BALI PARADISE",KRITI,ΡΕΘΥΜΝΗΣ,Rethymni,1,24.78333282,35.41333389,POINT (570970.512338248 3918874.3442460415)
2c8a3e04-2024-4b22-96d5-5168a05d1245.67,23060701,GR2230060223060701,ΚΕΦΑΛΛΗΝΙΑ-ΠΑΛΙΚΗΣ,PALIKIS,ΚΕΦΑΛΛΗΝ-ΑΓ.ΘΕΚΛΗΣ,ΚΕΝΤΡΟ ΑΚΤΗΣ,ΠΕΤΑΝΟΙ,PETANOI,IONIA NISIA,ΚΕΦΑΛΛΗΝΙΑΣ,KEFALLINIA,1,20.37666702,38.26333237,POINT (182821.05898089038 4240957.393456078)
2c8a3e04-2024-4b22-96d5-5168a05d1245.68,93110102,GR4330110993110102,ΚΡΗΤΗ-ΦΟΙΝΙΚΑ,FOINIKA,ΚΡΗΤΗ-ΜΥΡΘΙΟΥ,100μ. ΑΡΙΣΤΕΡΑ ΞΕΝΟΔΟΧΕΙΟΥ 'ΔΑΜΝΟΝΙ ΒΑΥ',ΔΑΜΝΟΝΙ,DAMNONI - ARISTERA 'DAMNONI BAY',KRITI,ΡΕΘΥΜΝΗΣ,Rethymni,1,24.41361046,35.17555618,POINT (537512.5560259208 3892301.014834036)
2c8a3e04-2024-4b22-96d5-5168a05d1245.69,93110202,GR4330110193110202,ΚΡΗΤΗ-ΦΟΙΝΙΚΑ,FOINIKA,ΚΡΗΤΗ-ΣΕΛΛΙΩΝ,ΕΝΑΝΤΙ ΞΕΝΟΔΟΧΕΙΟΥ 'ΑΛΙΑΝΘΟΣ',ΠΛΑΚΙΑΣ,PLAKIAS  - ENANTI HOTEL ALIANTHOS,KRITI,ΡΕΘΥΜΝΗΣ,Rethymni,1,24.39666748,35.17499924,POINT (535969.9261124932 3892233.0694954)
2c8a3e04-2024-4b22-96d5-5168a05d1245.70,94010201,GR4340010194010201,ΚΡΗΤΗ-ΧΑΝΙΩΝ,CHANION,ΚΡΗΤΗ-ΧΑΝΙΩΝ,ΕΝΑΝΤΙ ΚΕΝΤΡΟΥ ΑΚΡΟΓΙΑΛΙ,"ΧΑΝΙΑ,ΝΕΑ ΧΩΡΑ","CHANIA - NEA CHORA,KENTRO AKROGIALI",KRITI,ΧΑΝΙΩΝ,Chania,1,24.01833344,35.50666809,POINT (501512.98512184224 3928943.9915664443)
2c8a3e04-2024-4b22-96d5-5168a05d1245.71,94020101,GR4340020294020101,ΚΡΗΤΗ-ΑΚΡΩΤΗΡΙΟΥ,AKROTIRIOU,ΚΡΗΤΗ-ΚΟΥΝΟΥΠΙΔΙΑΝΩΝ,ΚΕΝΤΡΟ ΚΟΛΠΙΣΚΟΥ,ΑΓ.ΟΝΟΥΦΡΙΟΣ,AGIOS ONOUFRIOS  - MESON KOLPISKOU,KRITI,ΧΑΝΙΩΝ,Chania,1,24.07666588,35.56000137,POINT (506798.4563167098 3934861.5077864183)
2c8a3e04-2024-4b22-96d5-5168a05d1245.72,94020201,GR4340020294020201,ΚΡΗΤΗ-ΑΚΡΩΤΗΡΙΟΥ,AKROTIRIOU,ΚΡΗΤΗ-ΚΟΥΝΟΥΠΙΔΙΑΝΩΝ,ΕΝΑΝΤΙ ΣΗΜΕΙΟΥ ΕΚΒΟΛΗΣ ΠΟΤΑΜΟΥ,ΚΑΛΑΘΑΣ,KALATHAS  - SIMEIO EKVOLIS POTAMOU,KRITI,ΧΑΝΙΩΝ,Chania,1,24.08833313,35.55555725,POINT (507856.14010470844 3934369.523094641)
2c8a3e04-2024-4b22-96d5-5168a05d1245.73,94020301,GR4340020494020301,ΚΡΗΤΗ-ΑΚΡΩΤΗΡΙΟΥ,AKROTIRIOU,ΚΡΗΤΗ-ΣΤΕΡΝΩΝ,ΑΡΙΣΤΕΡΑ ΑΚΤΗΣ,ΜΑΡΑΘΙ,MARATHI  - ARISTERO AKRO,KRITI,ΧΑΝΙΩΝ,Chania,1,24.18333244,35.5027771,POINT (516476.9660826005 3928527.971497737)
2c8a3e04-2024-4b22-96d5-5168a05d1245.74,94020401,GR4340020294020401,ΚΡΗΤΗ-ΑΚΡΩΤΗΡΙΟΥ,AKROTIRIOU,ΚΡΗΤΗ-ΚΟΥΝΟΥΠΙΔΙΑΝΩΝ,ΚΕΝΤΡΟ ΑΚΤΗΣ,ΠΑΡΑΛΙΑ ΣΤΑΥΡΟΥ,STAVROS   -   MESON AKTIS,KRITI,ΧΑΝΙΩΝ,Chania,1,24.09555626,35.59166718,POINT (508506.8818185811 3938375.101274549)
2c8a3e04-2024-4b22-96d5-5168a05d1245.75,94040101,GR4340040194040101,ΚΡΗΤΗ-ΑΡΜΕΝΩΝ,ARMENON,ΚΡΗΤΗ-ΚΑΛΥΒΩΝ,ΕΝΑΝΤΙ ΚΕΝΤΡΟΥ ΜΑΙΣΤΡΑΛΙ,ΚΑΛΥΒΕΣ,KALYVES  - ENANTI KENTROU 'MAISTRALI',KRITI,ΧΑΝΙΩΝ,Chania,1,24.17000008,35.45166779,POINT (515277.5517321239 3922857.3176538073)
2c8a3e04-2024-4b22-96d5-5168a05d1245.76,94050101,GR4340050894050101,ΚΡΗΤΗ-ΒΑΜΟΥ,VAMOU,ΚΡΗΤΗ-ΠΛΑΚΑΣ,ΚΕΝΤΡΟ ΔΡΑΚΑΚΗ,ΑΛΜΥΡΙΔΑ,ALMYRIDA  - ENANTI KENTROU DRAKAKI,KRITI,ΧΑΝΙΩΝ,Chania,1,24.19916725,35.45055389,POINT (517924.6418869233 3922739.0476821023)
2c8a3e04-2024-4b22-96d5-5168a05d1245.77,94070301,GR4340070294070301,ΚΡΗΤΗ-ΓΕΩΡΓΙΟΥΠΟΛΕΩΣ,GEORGIOUPOLEOS,ΚΡΗΤΗ-ΓΕΩΡΓΙΟΥΠΟΛΗΣ,ΕΝΑΝΤΙ ΞΕΝΟΔΟΧΕΙΟΥ 'MARE MONTE',ΠΕΡΑΣΤΙΚΟΣ,PERASTIKOS - HOTEL 'MARE MONTE',KRITI,ΧΑΝΙΩΝ,Chania,1,24.27277756,35.35805511,POINT (524633.0726548383 3912496.350182826)
2c8a3e04-2024-4b22-96d5-5168a05d1245.78,94070401,GR4340070194070401,ΚΡΗΤΗ-ΓΕΩΡΓΙΟΥΠΟΛΕΩΣ,GEORGIOUPOLEOS,ΚΡΗΤΗ-ΚΟΥΡΝΑ,ΞΕΝΟΔΟΧΕΙΟ ΜΥΘΟΣ PALACE,ΚΑΒΡΟΣ,KAVROS - HOTEL MYTHOS,KRITI,ΧΑΝΙΩΝ,Chania,1,24.29055595,35.35472107,POINT (526249.3423094827 3912131.192448343)
2c8a3e04-2024-4b22-96d5-5168a05d1245.79,94140101,GR4340140194140101,ΚΡΗΤΗ-ΚΟΛΥΜΒΑΡΙΟΥ,KOLYMPARIOU,ΚΡΗΤΗ-ΚΟΛΥΜΠΑΡΙΟΥ,"ΚΕΝΤΡΟ ΑΚΤΗΣ,ΕΝΑΝΤΙ ΤΑΒΕΡΝΩΝ",ΚΟΛΥΜΠΑΡΙ,KOLYMPARI   -  MESON AKTIS ENANTI TAVERNON,KRITI,ΧΑΝΙΩΝ,Chania,1,23.78249931,35.54416656,POINT (480135.41968395276 3933124.5711637577)
2c8a3e04-2024-4b22-96d5-5168a05d1245.80,94180501,GR4340180194180501,ΚΡΗΤΗ-Ν.ΚΥΔΩΝΙΑΣ,NEAS KYDONIAS,ΚΡΗΤΗ-ΔΑΡΑΤΣΟΥ,"ΕΟΤ-ΧΡΥΣΗ ΑΚΤΗ, ΚΕΝΤΡΟ ΑΚΤΗΣ",ΧΡΥΣΗ ΑΚΤΗ,"CHRYSI AKTI,EOT - MESON AKTIS",KRITI,ΧΑΝΙΩΝ,Chania,1,23.93666649,35.50666809,POINT (494107.03166073037 3928945.68059959)
2c8a3e04-2024-4b22-96d5-5168a05d1245.81,94190101,GR4340190194190101,ΚΡΗΤΗ-ΠΕΛΕΚΑΝΟΥ,PELEKANOU,ΚΡΗΤΗ-ΠΑΛΑΙΟΧΩΡΑΣ,ΒΡΑΧΑΚΙΑ,"ΠΑΛΙΟΧΩΡΑ,ΠΑΧΕΙΑ ΑΜΜΟΣ",PACHEIA AMMOS  - VRACHAKIA,KRITI,ΧΑΝΙΩΝ,Chania,1,23.6669445,35.22999954,POINT (469543.6736266232 3898311.3687705453)
2c8a3e04-2024-4b22-96d5-5168a05d1245.82,94190201,GR4340190194190201,ΚΡΗΤΗ-ΠΕΛΕΚΑΝΟΥ,PELEKANOU,ΚΡΗΤΗ-ΠΑΛΑΙΟΧΩΡΑΣ,ΑΡΙΣΤΕΡΑ ΠΛΗΣΙΟΝ ΒΡΑΧΟΥ,"ΠΑΛΙΟΧΩΡΑ,ΧΑΛΙΚΙΑ",CHALIKIA  - ARISTERA PLISION VRACHOU,KRITI,ΧΑΝΙΩΝ,Chania,1,23.6669445,35.22999954,POINT (469543.6736266232 3898311.3687705453)
2c8a3e04-2024-4b22-96d5-5168a05d1245.83,94190202,GR4340190194190202,ΚΡΗΤΗ-ΠΕΛΕΚΑΝΟΥ,PELEKANOU,ΚΡΗΤΗ-ΠΑΛΑΙΟΧΩΡΑΣ,"ΕΝΑΝΤΙ ΤΑΒΕΡΝΑΣ ,100μ ΑΠΟ ΒΡΑΧΟ","ΠΑΛΙΟΧΩΡΑ,ΧΑΛΙΚΙΑ",CHALIKIA  - 100m APO VRACHO,KRITI,ΧΑΝΙΩΝ,Chania,1,23.6669445,35.22999954,POINT (469543.6736266232 3898311.3687705453)
2c8a3e04-2024-4b22-96d5-5168a05d1245.84,94190401,GR4340190194190401,ΚΡΗΤΗ-ΠΕΛΕΚΑΝΟΥ,PELEKANOU,ΚΡΗΤΗ-ΠΑΛΑΙΟΧΩΡΑ,ΜΕΣΟΝ ΑΚΤΗΣ,ΓΡΑΜΜΕΝΟ,GRAMMENO,KRITI,ΧΑΝΙΩΝ,Chania,1,23.63583374,35.23389053,POINT (466714.26575509756 3898752.6006339686)
2c8a3e04-2024-4b22-96d5-5168a05d1245.85,94200301,GR4340201294200301,ΚΡΗΤΗ-ΠΛΑΤΑΝΙΑ,PLATANIA,ΚΡΗΤΗ-ΠΛΑΤΑΝΙΑ,ΕΝΑΝΤΙ ΔΗΜΟΤΙΚΟΥ ΣΧΟΛΕΙΟΥ,ΠΛΑΤΑΝΙΑΣ,PLATANIAS  - ENANTI DIMOTIKOU SCHOLEIOU,KRITI,ΧΑΝΙΩΝ,Chania,1,23.9113884,35.52083206,POINT (491816.084686517 3930518.540468212)
2c8a3e04-2024-4b22-96d5-5168a05d1245.86,23050301,GR2230050523050301,ΚΕΦΑΛΛΗΝΙΑ-ΛΕΙΒΑΘΟΥΣ,LEIVATHOU,ΚΕΦΑΛΛΗΝ-ΛΟΥΡΔΑΤΩΝ,ΚΕΝΤΡΟ ΑΚΤΗΣ,ΛΟΥΡΔΑΤΑ,LOURDATA,IONIA NISIA,ΚΕΦΑΛΛΗΝΙΑΣ,KEFALLINIA,1,20.63666725,38.11249924,POINT (204968.26183851698 4223354.47081918)
2c8a3e04-2024-4b22-96d5-5168a05d1245.87,23050501,GR2230050623050501,ΚΕΦΑΛΛΗΝΙΑ-ΛΕΙΒΑΘΟΥΣ,LEIVATHOU,ΚΕΦΑΛΛΗΝ-ΜΕΤΑΞΑΤΩΝ,ΚΕΝΤΡΟ ΑΚΤΗΣ,ΠΑΡΑΛΙΑ ΑΒΥΘΟΣ,PARALIA AVYTHOS,IONIA NISIA,ΚΕΦΑΛΛΗΝΙΑΣ,KEFALLINIA,1,20.5,38.11388779,POINT (192988.217142564 4223952.246315547)
2c8a3e04-2024-4b22-96d5-5168a05d1245.88,32010302,GR2120010132010302,ΗΓΟΥΜΕΝΙΤΣΗΣ,IGOUMENITSIS,ΗΓΟΥΜΕΝΙΤΣΑΣ,ΤΕΡΜΑ ΠΑΡΑΛΙΑΣ ΦΤΕΛΙΑΣ,ΜΑΚΡΥΓΙΑΛΙ,MAKRYGIALI - PARALIA FTELIAS,IPEIROS,ΘΕΣΠΡΩΤΙΑΣ,THESPROTIA,1,20.18583298,39.51944351,POINT (171954.97960279215 4381085.731603943)
2c8a3e04-2024-4b22-96d5-5168a05d1245.89,34010201,GR2140010134010201,ΠΡΕΒΕΖΗΣ,PREVEZIS,ΠΡΕΒΕΖΑΣ,ΤΟΥΡΙΣΤΙΚΟ ΠΕΡΙΠΤΕΡΟ,ΚΥΑΝΗ ΑΚΤΗ,KYANI AKTI - TOURISTIKO PERIPTERO,IPEIROS,ΠΡΕΒΕΖΑΣ,PREVEZA,1,20.75,38.93583298,POINT (218139.55415954816 4314392.4787848)
2c8a3e04-2024-4b22-96d5-5168a05d1245.90,34010301,GR2140010334010301,ΠΡΕΒΕΖΗΣ,PREVEZIS,ΜΥΤΙΚΑ,ΙΟΝΙΟ ΜΟΤΕΛ,ΜΟΝΟΛΙΘΙ,MONOLITHI - IONIO MOTEL,IPEIROS,ΠΡΕΒΕΖΑΣ,PREVEZA,1,20.70083427,39.03333282,POINT (214269.25137105974 4325369.232967807)
2c8a3e04-2024-4b22-96d5-5168a05d1245.91,43010201,GR1430010143010201,ΒΟΛΟΥ,VOLOU,ΒΟΛΟΥ,ΚΕΝΤΡΟ 'ΚΑΛΛΙΘΕΑ',ΒΟΛΟΣ - ΑΝΑΥΡΟΣ,ANAVROS - KENTRO KALLITHEA,THESSALIA,ΜΑΓΝΗΣΙΑΣ,Magnisia,1,22.96333313,39.3516655,POINT (410528.16889657424 4356027.9296973515)
2c8a3e04-2024-4b22-96d5-5168a05d1245.92,A2620202,GR30007001A2620202,ΑΝΑΒΥΣΣΟΥ,ANAVYSSOU,,ΑΡΙΣΤΕΡΟ ΑΚΡΟ ΞΕΝΟΔΟΧΕΙΟΥ 'EDEN BEACH',"ΜΑΥΡΟ ΛΙΘΑΡΙ,EDEN",MAVRO LITHARI - ARISTERA HOTEL 'EDEN BEACH',ATTIKI,ΑΤΤΙΚΗΣ,Attiki,1,23.90805626,37.7266655,POINT (491748.09377463674 4175204.779473408)
2c8a3e04-2024-4b22-96d5-5168a05d1245.93,A2080103,GR30005601A2080103,ΒΟΥΛΙΑΓΜΕΝΗΣ,VOULIAGMENIS,ΒΟΥΛΙΑΓΜΕΝΗΣ,ΜΕΣΟΝ ΠΛΑΖ ΕΝΑΝΤΙ ΣΥΓΚΡΟΤΗΜΑΤΩΝ Β ΚΑΙ Γ,ΑΣΤΕΡΑΣ,ASTERAS,ATTIKI,ΑΤΤΙΚΗΣ,Attiki,1,23.77750015,37.81555557,POINT (480266.6023031599 4185086.1972525814)
2c8a3e04-2024-4b22-96d5-5168a05d1245.94,94200401,GR4340201294200401,ΚΡΗΤΗ-ΠΛΑΤΑΝΙΑ,PLATANIA,,ΞΕΝΟΔΟΧΕΙΟ PORTO PLATANIA,ΛΙΜΑΝΑΚΙ ΠΛΑΤΑΝΙΑ,LIMANAKI PLATANIA,KRITI,ΧΑΝΙΩΝ,Chania,1,23.91277695,35.51889038,POINT (491941.834624417 3930302.826689595)
2c8a3e04-2024-4b22-96d5-5168a05d1245.95,A2060201,GR30005401A2060201,ΒΑΡΗΣ,VARIS,ΒΑΡΗΣ,ΔΕΞΙΟ ΑΚΡΟ ΑΚΤΗΣ ΕΝΑΝΤΙ SNACK-BAR,ΒΑΡΚΙΖΑ,"VARKIZA,EOT - SNACK-BAR",ATTIKI,ΑΤΤΙΚΗΣ,Attiki,1,23.8077774,37.82055664,POINT (482932.7324248193 4185635.030729353)
2c8a3e04-2024-4b22-96d5-5168a05d1245.96,A2070101,GR30005501A2070101,ΒΟΥΛΑΣ,VOULAS,ΒΟΥΛΑΣ,ΔΕΞΙΟ ΑΚΡΟ ΑΚΤΗΣ ΕΝΑΝΤΙ ΕΞΟΔΟΥ CAMPING,ΑΠΟΛΛΩΝΙΕΣ ΒΟΥΛΑΣ Α,VOULA A,ATTIKI,ΑΤΤΙΚΗΣ,Attiki,1,23.75,37.85555649,POINT (477858.00170635607 4189530.3072147965)
2c8a3e04-2024-4b22-96d5-5168a05d1245.97,A2080101,GR30005601A2080101,ΒΟΥΛΙΑΓΜΕΝΗΣ,VOULIAGMENIS,ΒΟΥΛΙΑΓΜΕΝΗΣ,ΑΡΙΣΤΕΡΟ ΑΚΡΟ ΕΝΑΝΤΙ ΣΧΟΛΗΣ ΣΚΙ,ΑΣΤΕΡΑΣ,ASTERAS,ATTIKI,ΑΤΤΙΚΗΣ,Attiki,1,23.77416611,37.80916595,POINT (479971.52759784024 4184378.04592973)
2c8a3e04-2024-4b22-96d5-5168a05d1245.98,11080701,GR2510080411080701,ΚΡΑΝΙΔΙΟΥ,KRANIDIOU,ΠΟΡΤΟ ΧΕΛΙΟΥ,ΕΝΑΝΤΙ ΞΕΝΟΔΟΧΕΙΟΥ ΧΙΝΙΤΣΑ,ΠΟΡΤΟ ΧΕΛΙ B,PORTO CHELI - HOTEL 'CHINITSA',PELOPONNISOS,ΑΡΓΟΛΙΔΑΣ,Argolida,1,23.14805603,37.32500076,POINT (424370.5785270063 4130978.6483002165)
2c8a3e04-2024-4b22-96d5-5168a05d1245.99,12040502,GR2520041812040502,ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ,VOREIAS KYNOURIAS,ΠΑΡΑΛΙΟΥ ΑΣΤΡΟΥΣ,ΕΝΑΝΤΙ ΞΕΝΟΔΟΧΕΙΟΥ ΚΑΛΛΙΣΤΩ,ΚΑΛΛΙΣΤΩ,PARALIO ASTROS - HOTEL 'KALLISTO',PELOPONNISOS,ΑΡΚΑΔΙΑΣ,Arkadia,1,22.76388931,37.42916489,POINT (390484.63666350435 4142911.818043152)
2c8a3e04-2024-4b22-96d5-5168a05d1245.100,13080101,GR2320080713080101,ΔΥΜΗΣ,DYMIS,ΝΙΦΟΡΑΙΙΚΩΝ,CAMPING ΝΙΦΟΡΕΙΚΩΝ,ΝΙΦΟΡΕΙΚΑ,NIFOREIKA - CAMPING NIFOREIKON,DYTIKI ELLADA,ΑΧΑΙΑΣ,Achaia,1,21.5177784,38.15166855,POINT (282350.19408505183 4225266.469963194)
2c8a3e04-2024-4b22-96d5-5168a05d1245.101,16060201,GR2540061316060201,ΓΥΘΕΙΟΥ,GYTHEIOU,ΝΕΟΧΩΡΙΟΥ,ΜΕΤΑΞΥ ΞΕΝΟΔ.BELLE-ELEN ΚΑΙ CAMPING ΚΡΟΝΟΥ,ΒΑΘΥ,VATHI - HOTEL BELLE ELEN KAI CAMPING KRONOU,PELOPONNISOS,ΛΑΚΩΝΙΑΣ,Lakonia,1,22.53055573,36.70555496,POINT (368598.00867369736 4062927.0480804206)
2c8a3e04-2024-4b22-96d5-5168a05d1245.102,16060401,GR2540060116060401,ΓΥΘΕΙΟΥ,GYTHEIOU,ΓΥΘΕΙΟΥ,ΠΛΑΖ ΣΕΛΙΝΙΤΣΑ,ΓΥΘΕΙΟ 2,GYTHEIO - PLAZ SELINITSA,PELOPONNISOS,ΛΑΚΩΝΙΑΣ,Lakonia,1,22.59861183,36.70277786,POINT (374672.61171198345 4062527.8202281394)
